RegionID,SizeRank,RegionName,RegionType,StateName,Date,ZHVI
45,27,Oklahoma,state,,2000-10-31,85904.401717861
11,28,Connecticut,state,,2000-10-31,171187.25910500286
55,30,Utah,state,,2000-10-31,175688.1840177623
19,31,Iowa,state,,2000-10-31,93611.48771989909
42,32,Nevada,state,,2000-10-31,159157.36836356646
6,33,Arkansas,state,,2000-10-31,91445.1098402664
34,34,Mississippi,state,,2000-10-31,91503.74794057792
23,35,Kansas,state,,2000-10-31,90813.38587723368
41,36,New Mexico,state,,2000-10-31,
38,37,Nebraska,state,,2000-10-31,117008.63844840566
20,38,Idaho,state,,2000-10-31,126220.73789699264
61,39,West Virginia,state,,2000-10-31,74424.89194361749
18,40,Hawaii,state,,2000-10-31,202168.10105062168
39,41,New Hampshire,state,,2000-10-31,143299.4772444724
28,42,Maine,state,,2000-10-31,112623.6126165382
50,43,Rhode Island,state,,2000-10-31,140139.55542474383
35,44,Montana,state,,2000-10-31,
13,45,Delaware,state,,2000-10-31,154044.28353612707
52,46,South Dakota,state,,2000-10-31,106770.84776930534
37,47,North Dakota,state,,2000-10-31,
3,48,Alaska,state,,2000-10-31,137624.01895942635
12,49,District of Columbia,state,,2000-10-31,173218.89069165327
58,50,Vermont,state,,2000-10-31,120910.61361423566
62,51,Wyoming,state,,2000-10-31,
9,0,California,state,,2000-11-30,208640.73777167345
54,1,Texas,state,,2000-11-30,114239.82452374096
14,2,Florida,state,,2000-11-30,113564.025901866
43,3,New York,state,,2000-11-30,163682.58606110464
